Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
199245;2022-01-31;Biology and Medicine;Postdoc.Mobility 2020 August;NA
175563;2021-12-31;Biology and Medicine;Projektförderung 2017 April Abt. 3;NA
194364;2021-09-30;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2020 Februar;NA
168066;2020-07-31;Biology and Medicine;Ambizione 2016;NA
171234;2019-07-31;Mathematics, Natural- and Engineering Sciences;Rückkehr CH Advanced Postdoc.Mobility 2016;NA
182826;2021-11-30;Biology and Medicine;Excellence grant 2018 April;NA
203139;2023-08-31;Biology and Medicine;Postdoc.Mobility 2021 Februar;NA
206724;2023-02-28;Biology and Medicine;Postdoc.Mobility 2021 August;NA
168820;2017-12-31;Biology and Medicine;Early Postdoc.Mobility 2016;NA
162836;2019-06-30;Humanities and Social Sciences;Projektförderung 2015;NA
163295;2021-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
178127;2019-02-28;Humanities and Social Sciences;Doc.Mobility 2017 September;NA
175297;2019-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017;NA
179046;2023-04-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
182307;2022-01-31;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;NA
189260;2023-06-30;Humanities and Social Sciences;Projektförderung 2019 April Abt. 1;NA
164266;2019-09-30;Biology and Medicine;Projektförderung 2015;NA
177352;2022-04-30;Humanities and Social Sciences;NFP 76: Gesuch 2018;NA
164849;2017-12-31;Humanities and Social Sciences;Early Postdoc.Mobility 2015;NA
180709;2020-02-29;Humanities and Social Sciences;Postdoc.Mobility 2018 Februar;NA
188262;2021-09-30;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
144736;2018-08-31;Humanities and Social Sciences;SNF-Förderprofessuren 2012;NA
172286;2018-10-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
167581;2019-04-30;Humanities and Social Sciences;Advanced Postdoc.Mobility 2016;NA
176992;2020-03-31;Biology and Medicine;SNF-Förderprofessuren Fortsetzungsgesuche 2017;NA
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;C036EFB5-584F-4C5D-8542-54F5AD6C29DB
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;2E8F1989-3D46-45BD-937F-8F200CF800F5
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;135CEC66-3802-4E3F-83F0-F1D758842E3A
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;75284049-517E-4160-9163-85472F9E3D61
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;2050B4C8-9B6C-4DE4-A488-868139134B89
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;41B83577-7F13-4AFB-B1DB-6060185A29F2
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;3D73F8F5-66B3-4C13-B334-CC7EC9CD48E3
159721;2019-06-30;Biology and Medicine;Projektförderung 2014;6F842426-ADF9-46CC-B6FC-6A0C91F44BF1
178043;2019-12-31;Biology and Medicine;Early Postdoc.Mobility 2017 September;NA
159328;2019-09-30;Humanities and Social Sciences;Projektförderung 2014;NA
174585;2019-06-30;Biology and Medicine;NA;NA
178237;2019-10-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017 September;NA
172154;2018-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
152564;2018-05-31;Humanities and Social Sciences;Projektförderung 2013 ;NA
149031;2018-02-28;Mathematics, Natural- and Engineering Sciences;NA;NA
191516;2022-02-28;Humanities and Social Sciences;Doc.Mobility 2019 September;NA
169972;2022-05-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;NA
208610;2023-12-31;Mathematics, Natural- and Engineering Sciences;Prima 2021;NA
162435;2018-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
184662;2023-03-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
156316;2017-10-31;Biology and Medicine;Projektförderung 2014;NA
175996;2021-11-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;NA
177434;2023-02-28;Humanities and Social Sciences;NFP 76: Gesuch 2018;NA
157454;2019-09-30;Biology and Medicine;SNF-Förderprofessuren Gesuch Stufe 2 2014;NA
163313;2018-06-30;Humanities and Social Sciences;Projektförderung 2015;NA
169681;2021-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
184112;2019-08-31;Humanities and Social Sciences;Doc.Mobility 2018 September;NA
184378;2021-04-30;Humanities and Social Sciences;Early Postdoc.Mobility 2018 September;NA
176004;2023-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;NA
176264;2021-01-31;Humanities and Social Sciences;Projektförderung 2017 April Abt. 1;NA
194504;2023-02-28;Biology and Medicine;Postdoc.Mobility 2020 Februar;NA
175529;2023-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;NA
156294;2018-10-31;Biology and Medicine;Projektförderung 2014;F262D82C-782F-4FB5-B7B5-2D5C55CFE659
156294;2018-10-31;Biology and Medicine;Projektförderung 2014;C13D8C93-EF3D-40EF-AE58-24755B5EA9CD
156294;2018-10-31;Biology and Medicine;Projektförderung 2014;0D6CF8D8-AECA-4AF8-B258-76822DC28EF2
149158;2018-09-30;Humanities and Social Sciences;Projektförderung 2013 ;NA
184680;2023-06-30;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
163480;2019-03-31;Biology and Medicine;Projektförderung 2015;NA
174970;2018-03-31;Humanities and Social Sciences;Doc.Mobility 2017;NA
169853;2019-12-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;NA
149232;2018-01-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2013 ;NA
152030;2018-04-30;Humanities and Social Sciences;Doc.CH 2013;NA
185062;2023-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 Oktober Abt. 2;NA
175268;2019-06-30;Humanities and Social Sciences;Early Postdoc.Mobility 2017;NA
182588;2022-09-30;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;BF3F16BE-4F6D-4C5A-AFC5-33F6495A960B
174595;2019-02-28;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017;ADC15081-C8AD-40C6-805A-EC72F549C353
178426;2022-02-28;Humanities and Social Sciences;Doc.CH 2017 September;NA
221769;2023-10-31;Biology and Medicine;IICT- PPI Preparatory Grant 2023;NA
155970;2018-01-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2014;NA
181966;2022-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;NA
175608;2022-04-30;Biology and Medicine;Projektförderung 2017 April Abt. 3;NA
160560;2017-10-31;Humanities and Social Sciences;SCOPES Institutional Partnerships 2014;NA
179442;2022-11-30;Humanities and Social Sciences;Projektförderung 2017 Oktober Abt. 1;272524E0-58D0-4AF6-9DE4-C4A70064158E
199848;2022-10-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2020 September;NA
156140;2018-09-30;Biology and Medicine;Projektförderung 2014;NA
152586;2019-02-28;Humanities and Social Sciences;Projektförderung 2013 ;NA
166072;2020-01-31;Humanities and Social Sciences;Projektförderung 2015;NA
172240;2018-11-30;Biology and Medicine;Early Postdoc.Mobility 2016;NA
183946;2021-04-30;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2018 August;NA
164184;2019-05-31;Humanities and Social Sciences;Rio de Janeiro (STCPSRJ);EEF4699F-90B5-472B-8CF1-BA922E3AEFEB
172025;2019-01-31;Humanities and Social Sciences;Doc.CH 2016 September;NA
199548;2023-02-28;Mathematics, Natural- and Engineering Sciences;Bridge - Proof of Concept 2020 September;NA
168739;2018-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
175067;2019-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017;NA
167186;2020-08-31;Mathematics, Natural- and Engineering Sciences;NFP 75: Gesuch;NA
172601;2021-04-30;Humanities and Social Sciences;Projektförderung 2016 Oktober Abt. 1;NA
155430;2018-02-28;Humanities and Social Sciences;Doc.CH 2014;NA
143622;2017-12-31;Humanities and Social Sciences;Projektförderung 2012;NA
214441;2023-10-31;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2022 August;NA
187635;2020-04-30;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
199281;2023-02-28;Humanities and Social Sciences;Postdoc.Mobility 2020 August;NA
179937;2022-08-31;Humanities and Social Sciences;Ambizione 2017 November;NA
162656;2018-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
188460;2023-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2019 April Abt. 2;NA
195631;2021-10-31;Humanities and Social Sciences;Early Postdoc.Mobility 2020 März;NA
172492;2022-02-28;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;BA58914D-24A7-43DA-8946-D401CEC942B1
172492;2022-02-28;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;EEA6E47E-9983-4662-B630-FAB7F7A81470
175501;2019-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;NA
162232;2019-07-31;Mathematics, Natural- and Engineering Sciences;Korean-Swiss STP 2015;NA
157611;2020-10-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;18FB75E7-A981-4190-9F68-81DFFC7D15FC
157611;2020-10-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;8643E3D3-95DE-477E-8812-1EA13B77BCD3
157611;2020-10-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;4CF1A164-7E82-47C8-BCFA-71AE4B2F7AE1
157611;2020-10-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;F3D07B75-3B7A-4C4D-93BD-BADAA967AC88
157611;2020-10-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;571A2715-ECDC-4BD7-9B1B-94A92C021F2F
170028;2021-09-30;Biology and Medicine;Projektförderung 2016 April Abt. 3;NA
188110;2021-03-31;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
179451;2023-04-30;Humanities and Social Sciences;Projektförderung 2017 Oktober Abt. 1;NA
165112;2023-05-31;Humanities and Social Sciences;Doc.CH 2015;NA
194501;2021-06-30;Biology and Medicine;Postdoc.Mobility 2020 Februar;NA
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;76769DEE-A479-47E9-B387-22F6A2D5A32B
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;FB5FB452-C1F3-47D3-BD8C-F2AAA7A5DBD6
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;D49D9918-F7E1-4AE1-B55A-0A6B8CA59A4A
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;A6D7BC7F-EE78-4416-AB67-2ACEB7FE5528
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;51BD203E-C11C-46E1-B191-8407B2F1A0AA
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;98F1767A-057C-429A-9BB6-A935D5C373C1
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;4D6BEF38-2317-4F4B-9067-AB16ACC16626
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;2C81AEEB-6665-4EFA-8969-BEB8F2E29AE7
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;C02BD4CD-6BD0-430B-8517-C0EF5F207AD0
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;4436C30F-338C-4A46-BF04-EEF28C8D1010
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;F8DFE4FB-4D65-467B-AF05-252345A7965E
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;61C4279F-7066-4F44-B973-268C98078D1A
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;BC7ADB5A-0B2B-4B22-88C2-E6F52A113889
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;14A93395-8E4C-44B5-902E-CB4741F9921F
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;A29F803B-929C-4682-85DC-F9F683CA566D
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;9E31C7CB-ECAC-4018-B7D1-4F5ABA6D7427
169930;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;240C7163-E51B-4CED-B979-7C855B78E514
179123;2021-07-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
184521;2021-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2018 September;14F71BB3-576D-4371-B0B7-4CE6D9060E9C
165961;2020-12-31;Biology and Medicine;Projektförderung 2015;NA
192828;2023-04-30;Biology and Medicine;Excellence grant Div3 2019 Oktober;NA
170591;2019-06-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Fortsetzungsgesuche 2016;NA
164172;2019-05-31;Biology and Medicine;Rio de Janeiro (STCPSRJ);NA
184220;2019-08-31;Mathematics, Natural- and Engineering Sciences;Doc.Mobility 2018 September;NA
152841;2017-12-31;Humanities and Social Sciences;Projektförderung 2013 ;NA
182121;2023-09-30;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;NA
171976;2019-04-30;Biology and Medicine;Early Postdoc.Mobility 2016;NA
152892;2017-11-30;Humanities and Social Sciences;Projektförderung 2013 ;NA
190772;2021-02-28;Biology and Medicine;Spark 2019 Juli;NA
158390;2018-11-30;Biology and Medicine;FACCE JPI 2013;NA
213959;2022-10-31;Biology and Medicine;IICT- PPI Preparatory Grant 2022;NA
177394;2023-10-31;Humanities and Social Sciences;NFP 76: Gesuch 2018;NA
178602;2019-04-30;Biology and Medicine;Early Postdoc.Mobility 2017 September;NA
157146;2019-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2014;NA
181730;2019-07-31;Humanities and Social Sciences;Doc.Mobility 2018 März;NA
178922;2022-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
178439;2019-08-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017 September;NA
165477;2020-06-30;Humanities and Social Sciences;Projektförderung 2015;NA
186636;2021-04-30;Humanities and Social Sciences;Rückkehr CH Postdoc.Mobility 2019 Februar;71CAAC98-7ACA-4D7E-877A-B6FA91C01CD4
169422;2021-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
178837;2023-04-30;Humanities and Social Sciences;Projektförderung 2017 Oktober Abt. 1;NA
180098;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2017 November;NA
172698;2022-12-31;Humanities and Social Sciences;Projektförderung 2016 Oktober Abt. 1;NA
191271;2021-07-31;Biology and Medicine;Early Postdoc.Mobility 2019 September;NA
153236;2018-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2013 ;NA
184239;2020-08-31;Biology and Medicine;Early Postdoc.Mobility 2018 September;NA
173718;2023-05-31;Interdisciplinary;Sinergia 2016;NA
186779;2021-06-30;Biology and Medicine;Postdoc.Mobility 2019 Februar;NA
185186;2023-12-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;79D362D1-3AAB-4E26-8DDD-BE23EB6D28AA
185186;2023-12-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;D0D11EAA-6A3C-4B06-A593-11CD7DBCA1B1
177830;2019-07-31;Biology and Medicine;Advanced Postdoc.Mobility 2017;NA
175424;2021-11-30;Humanities and Social Sciences;Doc.CH 2017 März;NA
168849;2018-06-30;Humanities and Social Sciences;Early Postdoc.Mobility 2016;NA
170320;2019-10-31;Biology and Medicine;Projektförderung 2016 April Abt. 3;NA
168113;2019-10-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2016;NA
188183;2022-03-31;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
177805;2019-10-31;Mathematics, Natural- and Engineering Sciences;Advanced Postdoc.Mobility 2017;NA
166500;2019-03-31;Biology and Medicine;Projektförderung 2015;NA
188637;2023-05-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2019 April Abt. 2;C043B19D-EFB0-4D15-95C1-D55BBBDB6680
171598;2018-06-30;Biology and Medicine;Advanced Postdoc.Mobility 2016;069C5C57-28D2-4D5E-AA93-D4E42C1B59E4
171598;2018-06-30;Biology and Medicine;Advanced Postdoc.Mobility 2016;4096E126-76CA-4356-9A77-94B8280502C8
171598;2018-06-30;Biology and Medicine;Advanced Postdoc.Mobility 2016;4C238D8F-A4E6-42E8-B865-95815D6B6C46
209182;2023-07-31;Mathematics, Natural- and Engineering Sciences;Bridge - Proof of Concept 2021 Dezember;NA
163291;2020-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
181367;2020-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2018 März;NA
164209;2020-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;974E1528-1394-441A-ADA7-3961798C1904
164209;2020-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;4C0DA239-B470-4FE2-AE18-B4E126D58663
188126;2023-09-30;Humanities and Social Sciences;Doc.CH 2019 März;NA
182134;2022-08-31;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;NA
174120;2021-02-28;Biology and Medicine;Ambizione 2017;NA
178139;2020-01-31;Humanities and Social Sciences;Early Postdoc.Mobility 2017 September;NA
182303;2023-03-31;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;6DF8673D-486E-4F7F-83B5-1E74A3EA829D
171055;2021-08-31;Interdisciplinary;Sinergia 2016;NA
160742;2018-08-31;Biology and Medicine;Sinergia 2015;NA
203735;2023-02-28;Biology and Medicine;Bridge - Proof of Concept 2021 March;NA
171838;2018-07-31;Humanities and Social Sciences;Early Postdoc.Mobility 2016;NA
169894;2020-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;F8C2FDF0-8377-4B42-91BE-352749DC5F66
169894;2020-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;485E512C-4460-4C6B-BA72-037EAC5CF2E8
169894;2020-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;2B7499D2-1ABC-464D-BE9E-11E6378F9D40
182487;2022-09-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;NA
176584;2022-04-30;Mathematics, Natural- and Engineering Sciences;Bridge - Discovery 2017 April;85F87C3C-9B62-4572-9C51-D182758C9BB6
176584;2022-04-30;Mathematics, Natural- and Engineering Sciences;Bridge - Discovery 2017 April;81BC9CC4-29EC-4B6F-ABD4-5BA21687CB28
176584;2022-04-30;Mathematics, Natural- and Engineering Sciences;Bridge - Discovery 2017 April;7CD74031-8CCB-44EE-842C-B8B7B531D292
177688;2020-07-31;Humanities and Social Sciences;Advanced Postdoc.Mobility 2017;NA
162880;2018-03-31;Humanities and Social Sciences;Projektförderung 2015;NA
175398;2020-03-31;Humanities and Social Sciences;Doc.CH 2017 März;NA
172936;2019-09-30;Biology and Medicine;SNF-Förderprofessuren Fortsetzungsgesuche 2016;NA
169508;2020-01-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
164069;2019-09-30;Humanities and Social Sciences;Leadinghouses Switzerland-Russia (STCPSR) 2015;NA
173083;2021-09-30;Biology and Medicine;Projektförderung 2016 Oktober Abt. 3;NA
169558;2018-02-28;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
153981;2018-12-31;Mathematics, Natural- and Engineering Sciences;NFP 70: Gesuch 2014;NA
176437;2019-03-31;Humanities and Social Sciences;Projektförderung 2017 April Abt. 1;NA
167345;2020-06-30;Humanities and Social Sciences;NFP 74: Gesuch;NA
169084;2021-01-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;966014F9-BA4C-4CE5-B521-58C82A83A546
198438;2023-06-30;Humanities and Social Sciences;NFP 78 Covid-19 2020;F7F63AEA-52D7-483D-836C-6DA33DA670E4
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;F3400444-ADE0-40E5-BF63-1E4CD53A21FC
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;FFF75037-15F1-436C-9971-8E23504FE536
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;71A78F21-5E64-4633-BE6F-57875AA5B0BB
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;A221B60D-327A-4D6E-B67E-E834CEA9C5CB
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;51E51464-8D06-4DD5-B989-B02410A7093D
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;8D703E7C-27FE-4D78-87F9-CB4E40027664
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;F3EDBD6A-5C79-416A-9C37-1C6CC528D0FD
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;CC58664B-2625-437C-8D9A-1747E9A91FEC
185870;2023-08-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2018;36DCE86B-51A1-4653-A4E3-E4EBFED53F56
159757;2018-06-30;Humanities and Social Sciences;Projektförderung 2014;NA
188111;2021-12-31;Humanities and Social Sciences;Doc.Mobility 2019 März;NA
160910;2020-04-30;Humanities and Social Sciences;r4d - 2. Thematically Open Call - Gesuch 2015;NA
181333;2019-02-28;Humanities and Social Sciences;Doc.Mobility 2018 März;NA
179595;2021-08-31;Biology and Medicine;ERA-NET E-Rare JTC 2017;NA
178040;2019-06-30;Humanities and Social Sciences;Early Postdoc.Mobility 2017 September;NA
189080;2023-09-30;Biology and Medicine;Projektförderung 2019 April Abt. 3;NA
165699;2021-12-31;Humanities and Social Sciences;Projektförderung 2015;NA
163683;2020-03-31;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2015;NA
167718;2019-05-31;Humanities and Social Sciences;Rückkehr CH Advanced Postdoc.Mobility 2016;NA
190574;2021-03-31;Biology and Medicine;Spark 2019 Juli;NA
166826;2023-01-31;Biology and Medicine;Investigator initiated clinical trials, Call 2015;NA
180729;2019-04-30;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2018 Februar;NA
195062;2021-08-31;Humanities and Social Sciences;Doc.Mobility 2020 März;NA
187700;2020-01-31;Humanities and Social Sciences;Doc.Mobility 2019 März;NA
171215;2018-01-31;Mathematics, Natural- and Engineering Sciences;Advanced Postdoc.Mobility 2016;NA
195898;2023-02-28;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2020 März;6CA4EDF2-271B-4666-9E37-057703FED36E
195898;2023-02-28;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2020 März;41B79315-A8EC-4E48-9DBB-2643A08BA6FC
170537;2021-06-30;Biology and Medicine;NA;NA
191987;2023-05-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2019 Oktober Abt. 2;9EB25309-9458-4A78-9DC4-107DC0B7AF3E
173988;2022-09-30;Mathematics, Natural- and Engineering Sciences;Ambizione 2017;NA
191201;2020-12-31;Humanities and Social Sciences;Doc.Mobility 2019 September;NA
159872;2018-09-30;Biology and Medicine;Projektförderung 2014;NA
182602;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;2E51D52E-30CC-403D-B11B-1B9E733D457A
182602;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;2E8519A9-12F4-4613-9FD7-9A4CD68B5D33
182602;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;C223CF3B-EDCB-462B-911F-ADF346A39E3D
194686;2023-01-31;Humanities and Social Sciences;Bridge - Discovery Full proposal 2020;NA
174791;2018-02-28;Biology and Medicine;Doc.Mobility 2017;NA
156215;2017-12-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2014;NA
182648;2023-06-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;D96DBA81-FE65-44E2-8A14-55E643C5B263
182648;2023-06-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;098FA0D8-1DC4-4542-9CD9-C972BD3FAC5D
182648;2023-06-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;A8BB6352-D525-47C9-96AE-26214B3E98E6
182648;2023-06-30;Biology and Medicine;Projektförderung 2018 April Abt. 3;53A01413-6A89-4645-987E-DD79A495C2D9
181260;2020-02-29;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2018 März;NA
196085;2022-07-31;Mathematics, Natural- and Engineering Sciences;Spark 2020 März;722B5954-BE05-48DA-9ABD-02174348924D
194873;2022-09-30;Humanities and Social Sciences;Doc.Mobility 2020 März;NA
199998;2022-07-31;Biology and Medicine;Early Postdoc.Mobility 2020 September;NA
164991;2018-04-30;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2015;NA
182680;2023-03-31;Biology and Medicine;Projektförderung 2018 April Abt. 3;NA
153475;2018-06-30;Biology and Medicine;Projektförderung 2013 ;NA
178688;2022-02-28;Humanities and Social Sciences;Doc.CH 2017 September;NA
187953;2020-06-30;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 März;NA
178730;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
170684;2021-04-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2016;84388B87-B187-4DAC-A292-1CB058B8E7AD
177920;2019-12-31;Biology and Medicine;Advanced Postdoc.Mobility 2017;NA
167965;2018-09-30;Mathematics, Natural- and Engineering Sciences;Ambizione 2016;NA
166513;2019-03-31;Biology and Medicine;Projektförderung 2015;NA
172379;2021-03-31;Humanities and Social Sciences;Doc.CH 2016 September;NA
175731;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;EFCDC2AC-606E-46BC-976F-0992D1CDF799
175731;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;C0222872-04AA-4FA8-8A0E-D9E97DA8F698
172662;2022-02-28;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;90A9AD22-D96D-46E6-98DE-EA9C27DEE1F9
189118;2021-09-30;Humanities and Social Sciences;Projektförderung 2019 April Abt. 1;NA
172796;2022-08-31;Biology and Medicine;Projektförderung 2016 Oktober Abt. 3;NA
205075;2023-10-31;Biology and Medicine;Projektförderung 2021 April Abt. 3;31162895-E292-4975-B8CA-A2E6B58B2446
168667;2018-07-31;Humanities and Social Sciences;Early Postdoc.Mobility 2016;NA
159292;2019-10-31;Humanities and Social Sciences;Projektförderung 2014;NA
173565;2021-04-30;Biology and Medicine;NA;NA
168301;2018-03-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
147133;2018-09-30;Humanities and Social Sciences;Projektförderung 2012;NA
183149;2020-05-31;Humanities and Social Sciences;Digital Lives 2018;NA
162938;2019-01-31;Humanities and Social Sciences;Projektförderung 2015;NA
