Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
186796;2021-03-31;Biology and Medicine;Postdoc.Mobility 2019 Februar;NA
190484;2021-03-31;Biology and Medicine;Spark 2019 Juli;NA
199707;2022-07-31;Humanities and Social Sciences;Doc.Mobility 2020 September;NA
172133;2018-11-30;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
159999;2019-04-30;Biology and Medicine;Projektförderung 2014;83E65B15-F76D-4807-AAE1-852DEF7323FC
185392;2022-01-31;Biology and Medicine;Excellence grant 2018 Oktober;NA
166559;2021-08-31;Humanities and Social Sciences;Projektförderung 2015;NA
148401;2018-03-31;Biology and Medicine;NA;NA
206994;2022-01-31;Humanities and Social Sciences;Doc.Mobility Fortsetzung 2021;NA
168437;2018-02-28;Biology and Medicine;Early Postdoc.Mobility 2016;NA
160257;2018-03-31;Biology and Medicine;Projektförderung 2014;NA
163674;2020-07-31;Humanities and Social Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2015;NA
184316;2023-08-31;Humanities and Social Sciences;Doc.CH 2018 September;NA
199968;2023-04-30;Biology and Medicine;Early Postdoc.Mobility 2020 September;D8EC87AB-0BD8-4FEE-B293-83EAD97E8094
199968;2023-04-30;Biology and Medicine;Early Postdoc.Mobility 2020 September;7947DD88-F23B-43AF-AB1A-45BE5DE5C98F
191777;2021-08-31;Biology and Medicine;Early Postdoc.Mobility 2019 September;NA
172892;2020-10-31;Humanities and Social Sciences;Projektförderung 2016 Oktober Abt. 1;NA
174830;2018-09-30;Mathematics, Natural- and Engineering Sciences;NA;NA
185385;2023-05-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;NA
153498;2018-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2013 ;1501FF5D-35A3-4A39-B936-29CEE34BB87B
180395;2023-06-30;Humanities and Social Sciences;EqUIP 2017;NA
172290;2018-10-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2016;NA
172483;2021-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;NA
191804;2021-12-31;Biology and Medicine;Early Postdoc.Mobility 2019 September;NA
177515;2023-07-31;Biology and Medicine;r4d - Thematically Open Call - Gesuch 2018;NA
150483;2018-09-30;Humanities and Social Sciences;Förderprofessuren Gesuch 2013;NA
169768;2018-05-31;Humanities and Social Sciences;Projektförderung 2016 April Abt. 1;NA
182470;2023-03-31;Biology and Medicine;Projektförderung 2018 April Abt. 3;NA
190132;2020-09-30;Humanities and Social Sciences;Spark 2019 Juli;B5FE373B-446C-4789-B8EA-74203BDB23FF
190132;2020-09-30;Humanities and Social Sciences;Spark 2019 Juli;B05E0FED-CA06-4B51-98FD-D4AF94AEBD21
166457;2018-01-31;Biology and Medicine;Projektförderung 2015;NA
153346;2017-12-31;Biology and Medicine;Projektförderung 2013 ;NA
177833;2019-06-30;Mathematics, Natural- and Engineering Sciences;Advanced Postdoc.Mobility 2017;NA
175742;2022-09-30;Biology and Medicine;Projektförderung 2017 April Abt. 3;NA
176977;2022-08-31;Biology and Medicine;SNF Förderprofessuren Gesuch Stufe 2 2017;C9591A49-D5A9-44AB-B65E-40907015CBC8
176977;2022-08-31;Biology and Medicine;SNF Förderprofessuren Gesuch Stufe 2 2017;553F655C-46BD-44BC-9376-09B3B0C9AB18
176977;2022-08-31;Biology and Medicine;SNF Förderprofessuren Gesuch Stufe 2 2017;BC73E17F-23F9-4978-B055-243185CB1CB2
176977;2022-08-31;Biology and Medicine;SNF Förderprofessuren Gesuch Stufe 2 2017;AF5DFD9B-0247-41AB-8B7B-DE854E9DCB91
210973;2023-03-31;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2022 Februar;NA
182283;2023-10-31;Humanities and Social Sciences;Projektförderung 2018 April Abt. 1;NA
172451;2022-08-31;Mathematics, Natural- and Engineering Sciences;NFP 73: Gesuch 2017;953559A8-4A8F-4446-8B63-5D83838407FD
195938;2022-01-31;Biology and Medicine;Spark 2020 Juni;B99D6511-5157-47F1-8B7A-CDC47B00C22E
195938;2022-01-31;Biology and Medicine;Spark 2020 Juni;B7430D20-6BDC-4D9F-B45B-5DC368C42C98
157476;2019-08-31;Biology and Medicine;SNF-Förderprofessuren Gesuch Stufe 2 2014;NA
174228;2021-10-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2017;NA
166426;2019-07-31;Biology and Medicine;Projektförderung 2015;639E9361-80B7-4BB6-9918-4B0E22DBABDB
166426;2019-07-31;Biology and Medicine;Projektförderung 2015;4446377D-BC91-4BEC-8BC5-6DDEF7262390
166426;2019-07-31;Biology and Medicine;Projektförderung 2015;C1B07AF1-0D96-4A05-AB4E-C4D3AEBED807
166426;2019-07-31;Biology and Medicine;Projektförderung 2015;25BE9980-B6C3-4A94-9B75-070F21D50967
166426;2019-07-31;Biology and Medicine;Projektförderung 2015;23E414CF-2AA9-4660-8324-A99513BE02B5
179026;2022-09-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
178650;2019-07-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2017 September;NA
151569;2017-12-31;Mathematics, Natural- and Engineering Sciences;NA;NA
168797;2021-01-31;Humanities and Social Sciences;Doc.CH 2016 März;NA
161184;2018-07-31;Humanities and Social Sciences;Advanced Postdoc.Mobility 2015;NA
178683;2022-02-28;Humanities and Social Sciences;Doc.CH 2017 September;NA
176376;2019-02-28;Humanities and Social Sciences;Projektförderung 2017 April Abt. 1;EA34D930-0139-4BE1-B370-620F694158D7
179921;2021-12-31;Mathematics, Natural- and Engineering Sciences;Ambizione 2017 November;NA
164061;2019-01-31;Mathematics, Natural- and Engineering Sciences;Leadinghouses Switzerland-Russia (STCPSR) 2015;NA
174839;2019-02-28;Mathematics, Natural- and Engineering Sciences;NA;A11A3438-A06E-4DA8-9FAC-8F881DA15634
174839;2019-02-28;Mathematics, Natural- and Engineering Sciences;NA;849169F7-DBE1-4195-9507-42763486E465
187999;2021-01-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 März;NA
173077;2021-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;NA
201019;2022-09-30;Humanities and Social Sciences;Projektförderung 2020 Oktober Abt. 1;NA
157627;2019-11-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;35815585-C633-4FE7-8FC3-F2F2E48D7699
157627;2019-11-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;3FD90C1F-760F-41F3-98BD-2C7B19A57EF3
157627;2019-11-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;CA264F49-95D3-44AA-A5C9-59A01E671BF3
157627;2019-11-30;Mathematics, Natural- and Engineering Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2014;B312690E-FD3B-4AC7-ACC7-2F41CC3080AE
175785;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;0D298574-41F3-4A26-9C44-37E06D5A2620
175785;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;534C3BD5-EB43-4B2E-BB79-5544E52CF86A
175785;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 April Abt. 2;1144C6C9-75A1-4739-B9EC-DE1A94BBA405
177346;2023-04-30;Biology and Medicine;r4d - Thematically Open Call - Gesuch 2018;NA
172759;2022-06-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 Oktober Abt. 2;NA
158455;2017-10-31;Biology and Medicine;Advanced Postdoc.Mobility 2014;NA
181775;2020-08-31;Biology and Medicine;Early Postdoc.Mobility 2018 März;45EB8D5E-4764-48A2-B073-9378A78443ED
181775;2020-08-31;Biology and Medicine;Early Postdoc.Mobility 2018 März;0F8C5D15-74C9-4C30-93A3-949D854D383D
181775;2020-08-31;Biology and Medicine;Early Postdoc.Mobility 2018 März;9F2A43C7-D238-4C70-B054-65316C715FED
